date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2022-09-06,65.56,66.88,62.6,62.78,62.78,7442907.0,0.0,1.0
2022-09-02,67.71,68.14,63.82,65.26,65.26,6392835.0,0.0,1.0
2022-09-01,65.55,65.99,61.91,65.53,65.53,8046563.0,0.0,1.0
2022-08-31,68.7,70.38,66.6581,66.8,66.8,6707941.0,0.0,1.0
2022-08-30,67.965,69.45,64.63,67.03,67.03,8293471.0,0.0,1.0
2022-08-29,65.51,69.4,65.46,66.34,66.34,7903271.0,0.0,1.0
2022-08-26,71.71,71.7999,65.3419,66.74,66.74,9797324.0,0.0,1.0
2022-08-25,71.84,72.45,68.52,71.37,71.37,8563518.0,0.0,1.0
2022-08-24,71.88,74.32,70.71,71.48,71.48,6675538.0,0.0,1.0
2022-08-23,71.95,76.41,70.6,71.18,71.18,9598286.0,0.0,1.0
2022-08-22,70.91,74.94,70.29,71.47,71.47,9082357.0,0.0,1.0
2022-08-19,76.0,78.2513,74.01,74.06,74.06,13727856.0,0.0,1.0
2022-08-18,86.33,86.36,81.42,83.47,83.47,7923316.0,0.0,1.0
2022-08-17,87.505,88.64,84.7704,85.44,85.44,10697919.0,0.0,1.0
2022-08-16,90.55,95.5,84.2397,90.39,90.39,17055022.0,0.0,1.0
2022-08-15,89.11,93.6799,88.59,91.97,91.97,11001934.0,0.0,1.0
2022-08-12,85.23,92.48,83.2899,90.49,90.49,13755196.0,0.0,1.0
2022-08-11,97.25,98.7,82.31,84.0,84.0,23247255.0,0.0,1.0
2022-08-10,89.98,95.0,88.0,94.14,94.14,23818204.0,0.0,1.0
2022-08-09,93.89,93.89,85.6,87.68,87.68,17411400.0,0.0,1.0
2022-08-08,97.84,103.55,93.8096,98.02,98.02,18878661.0,0.0,1.0
2022-08-05,86.58,98.87,86.52,93.05,93.05,24865731.0,0.0,1.0
2022-08-04,106.1,116.3,86.785,88.9,88.9,54342800.0,0.0,1.0
2022-08-03,69.05,82.25,67.61,80.81,80.81,24784175.0,0.0,1.0
2022-08-02,60.91,69.59,60.8,67.23,67.23,12142089.0,0.0,1.0
2022-08-01,61.19,63.62,59.42,62.7,62.7,7361252.0,0.0,1.0
2022-07-29,60.14,64.2299,59.77,62.96,62.96,9113752.0,0.0,1.0
2022-07-28,58.235,62.95,55.59,62.25,62.25,13674813.0,0.0,1.0
2022-07-27,54.87,60.61,53.12,58.83,58.83,18230196.0,0.0,1.0
2022-07-26,61.69,62.89,52.63,52.93,52.93,26875839.0,0.0,1.0
2022-07-25,68.93,69.9797,66.3,67.07,67.07,8797556.0,0.0,1.0
2022-07-22,76.2,76.5719,69.09,70.82,70.82,12013281.0,0.0,1.0
2022-07-21,71.0,76.62,70.28,73.98,73.98,17301194.0,0.0,1.0
2022-07-20,67.08,79.0,67.05,75.27,75.27,34031955.0,0.0,1.0
2022-07-19,60.86,65.98,57.78,65.83,65.83,19210643.0,0.0,1.0
2022-07-18,56.71,63.38,56.69,58.67,58.67,21226156.0,0.0,1.0
2022-07-15,54.35,56.55,51.93,53.79,53.79,10714321.0,0.0,1.0
2022-07-14,52.335,54.71,50.34,53.42,53.42,9682070.0,0.0,1.0
2022-07-13,51.68,54.73,50.4001,53.1,53.1,9439934.0,0.0,1.0
2022-07-12,53.7,56.11,52.62,54.24,54.24,8466218.0,0.0,1.0
2022-07-11,57.535,58.43,53.3,53.88,53.88,10750821.0,0.0,1.0
2022-07-08,55.61,63.7,54.51,60.29,60.29,17950500.0,0.0,1.0
2022-07-07,52.14,57.65,52.14,57.46,57.46,12318519.0,0.0,1.0
2022-07-06,54.17,56.2741,51.4,51.71,51.71,11881899.0,0.0,1.0
2022-07-05,48.125,55.82,45.95,55.41,55.41,13113668.0,0.0,1.0
2022-07-01,47.99,50.1601,47.52,49.04,49.04,8556521.0,0.0,1.0
2022-06-30,48.2,48.4,44.15,47.02,47.02,12934359.0,0.0,1.0
2022-06-29,50.5,51.46,48.59,49.75,49.75,9776155.0,0.0,1.0
2022-06-28,56.26,57.25,50.331,51.18,51.18,10277178.0,0.0,1.0
2022-06-27,59.56,60.45,55.02,55.96,55.96,15201607.0,0.0,1.0
2022-06-24,60.0,64.09,59.3256,62.71,62.71,24381357.0,0.0,1.0
2022-06-23,53.6,59.62,51.83,58.88,58.88,15840689.0,0.0,1.0
2022-06-22,53.87,56.75,51.565,51.91,51.91,18947676.0,0.0,1.0
2022-06-21,54.2,60.75,54.1,57.49,57.49,16916242.0,0.0,1.0
2022-06-17,50.12,52.8,49.28,51.22,51.22,11771005.0,0.0,1.0
2022-06-16,52.58,54.4299,50.08,51.05,51.05,13157743.0,0.0,1.0
2022-06-15,50.94,56.66,50.45,55.01,55.01,16340087.0,0.0,1.0
2022-06-14,52.5,53.29,48.81,51.58,51.58,17430264.0,0.0,1.0
2022-06-13,46.18,54.3,46.0001,52.01,52.01,28961424.0,0.0,1.0
2022-06-10,60.0,61.629,57.77,58.71,58.71,11001124.0,0.0,1.0
2022-06-09,69.08,69.38,63.12,63.76,63.76,9349323.0,0.0,1.0
2022-06-08,69.23,72.98,68.3001,69.2,69.2,6276638.0,0.0,1.0
2022-06-07,67.31,69.97,64.36,69.57,69.57,8485074.0,0.0,1.0
2022-06-06,70.76,74.11,68.43,70.67,70.67,9352377.0,0.0,1.0
2022-06-03,69.39,70.5,65.61,66.69,66.69,10213584.0,0.0,1.0
2022-06-02,67.8,74.48,67.28,73.82,73.82,8643601.0,0.0,1.0
2022-06-01,77.5,77.8,67.8,68.63,68.63,14608492.0,0.0,1.0
2022-05-31,80.0,83.32,75.6,78.1,78.1,22623167.0,0.0,1.0
2022-05-27,69.84,77.18,69.84,75.32,75.32,14112792.0,0.0,1.0
2022-05-26,63.97,71.17,62.3,69.87,69.87,12000226.0,0.0,1.0
